country,region,reserves_US,Btu_energy,kW_electricity,%_PBI_education,reserves_level,energy_level,electricity_level,education_level
aruba,central america and the caribbean,1468000000,153952000,305000,5.5,Bajo,Muy alto,Muy bajo,Alto
gabon,africa,1447000000,22101000,785000,3.2,Bajo,Bajo,Bajo,Bajo
malta,europe,1402000000,234698000,829000,5.9,Bajo,Muy alto,Bajo,Alto
west bank,middle east,1328000000,14991000,352000,5.3,Bajo,Bajo,Muy bajo,Alto
gaza strip,middle east,1328000000,14991000,352000,5.3,Bajo,Bajo,Muy bajo,Alto
niger,africa,1314000000,1772000,377000,3.8,Bajo,Muy bajo,Bajo,Bajo
chad,africa,1050000000,1502000,167000,2.9,Bajo,Muy bajo,Muy bajo,Muy bajo
guyana,south america,1010000000,46045000,259000,4.5,Bajo,Medio,Muy bajo,Medio
bhutan,south asia,928229000,64082000,2344000,7.0,Bajo,Medio,Bajo,Muy alto
cyprus,europe,921269000,107188000,2288000,6.1,Bajo,Alto,Bajo,Muy alto
lesotho,africa,854089000,8117000,104000,8.7,Bajo,Muy bajo,Muy bajo,Muy alto
cabo verde,africa,783106000,19999000,200000,7.6,Muy bajo,Bajo,Muy bajo,Muy alto
timor-leste,east and southeast asia,781995000,6825000,277000,4.2,Muy bajo,Muy bajo,Muy bajo,Medio
seychelles,africa,773678000,98847000,156000,5.2,Muy bajo,Alto,Muy bajo,Alto
"congo, republic of the",africa,715391000,7351000,842000,4.5,Muy bajo,Muy bajo,Bajo,Medio
benin,africa,698900000,6472000,505000,3.0,Muy bajo,Muy bajo,Bajo,Muy bajo
solomon islands,australia and oceania,688220000,5655000,37000,12.8,Muy bajo,Muy bajo,Muy bajo,Muy alto
maldives,south asia,673203000,50886000,432000,5.8,Muy bajo,Medio,Bajo,Alto
mali,africa,647800000,4307000,1222000,4.4,Muy bajo,Muy bajo,Bajo,Medio
vanuatu,australia and oceania,643768000,12934000,39000,2.2,Muy bajo,Bajo,Muy bajo,Muy bajo
liberia,africa,599660000,1822000,199000,2.7,Muy bajo,Muy bajo,Muy bajo,Muy bajo
malawi,africa,594498000,1792000,731000,2.9,Muy bajo,Muy bajo,Bajo,Muy bajo
"gambia, the",africa,577028000,2731000,162000,2.8,Muy bajo,Muy bajo,Muy bajo,Muy bajo
samoa,australia and oceania,507740000,23476000,54000,4.8,Muy bajo,Bajo,Muy bajo,Medio
belize,central america and the caribbean,498087000,30752000,220000,8.7,Muy bajo,Medio,Muy bajo,Muy alto
sierra leone,africa,495699000,2301000,149000,9.1,Muy bajo,Muy bajo,Muy bajo,Muy alto
central african republic,africa,479593000,954000,63000,2.2,Muy bajo,Muy bajo,Muy bajo,Muy bajo
eswatini,africa,479261000,18823000,285000,5.0,Muy bajo,Bajo,Muy bajo,Alto
grenada,central america and the caribbean,423263000,41703000,60000,3.6,Muy bajo,Medio,Muy bajo,Bajo
saint lucia,central america and the caribbean,406064000,47522000,93000,3.6,Muy bajo,Medio,Muy bajo,Bajo
tonga,australia and oceania,396530000,23272000,34000,6.6,Muy bajo,Bajo,Muy bajo,Muy alto
antigua and barbuda,central america and the caribbean,358441000,110114000,148000,3.8,Muy bajo,Alto,Muy bajo,Bajo
guinea-bissau,africa,356400000,2351000,29000,2.7,Muy bajo,Muy bajo,Muy bajo,Muy bajo
djibouti,africa,348725000,10428000,210000,3.6,Muy bajo,Bajo,Muy bajo,Bajo
comoros,africa,322436000,7139000,32000,2.6,Muy bajo,Muy bajo,Muy bajo,Muy bajo
saint vincent and the grenadines,central america and the caribbean,316824000,37253000,55000,5.7,Muy bajo,Medio,Muy bajo,Alto
saint kitts and nevis,central america and the caribbean,294748000,81454000,72000,2.5,Muy bajo,Alto,Muy bajo,Muy bajo
zimbabwe,africa,261373000,10855000,2491000,3.9,Muy bajo,Bajo,Medio,Bajo
cayman islands,central america and the caribbean,234000000,143149000,176000,2.1,Muy bajo,Muy alto,Muy bajo,Muy bajo
dominica,central america and the caribbean,155971000,36395000,41000,5.5,Muy bajo,Medio,Muy bajo,Alto
burundi,africa,90350000,946000,131000,5.0,Muy bajo,Muy bajo,Muy bajo,Alto
bolivia,south america,87100000,29340000,4375000,9.8,Muy bajo,Medio,Medio,Muy alto
togo,africa,77800000,4538000,326000,4.0,Muy bajo,Muy bajo,Muy bajo,Medio
south sudan,africa,72881000,2092000,136000,1.5,Muy bajo,Muy bajo,Muy bajo,Muy bajo
burkina faso,africa,49000000,3481000,749000,5.5,Muy bajo,Muy bajo,Bajo,Alto
sao tome and principe,africa,46247000,8875000,29000,5.0,Muy bajo,Bajo,Muy bajo,Alto
somalia,africa,30450000,649000,156000,0.3,Muy bajo,Muy bajo,Muy bajo,Muy bajo
